Symbol	AK1	AK2	AK3	AK4	AK5	AK6	AK7	AK8	AK9	AK10	AK11	AK12	AK13	AK14	AK15	AK16	AK17	AK18	AK19	AK20
C16orf72	6	8	8	6	11	2	6	4	11	12	14	11	16	10	8	4	10	6	18	14
C16orf74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C16orf78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C16orf80	0	0	2	0	0	0	0	2	0	4	0	5	2	0	0	0	0	0	2	2
C16orf82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C16orf86	4	4	4	2	5	3	5	2	4	1	4	6	0	3	1	3	3	6	3	4
C16orf87	0	0	0	0	2	0	0	0	0	2	0	0	2	0	4	2	0	0	0	0
C16orf89	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C16orf90	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C16orf91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C16orf92	22	9	11	11	13	19	17	20	7	13	19	9	24	3	12	6	12	10	3	3
C16orf93	1	4	3	2	2	1	1	2	2	5	2	0	0	1	2	0	0	1	2	4
C16orf95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C16orf96	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C16orf97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C16orf98	71	38	40	72	13	25	48	13	36	26	110	155	79	123	62	102	64	30	109	32
C17orf100	4	0	2	16	5	6	6	4	1	2	2	6	0	10	7	5	0	2	13	6
C17orf102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	6
C17orf104	16	5	3	11	6	14	7	1	1	8	11	3	6	7	7	13	1	9	5	21
C17orf105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf107	10	1	0	0	0	6	0	0	0	0	5	2	2	0	3	10	6	0	0	6
C17orf112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf47	4	0	10	3	0	0	0	1	0	1	1	12	1	5	1	3	5	1	16	6
C17orf49	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
C17orf50	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
C17orf51	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	2	2	0	0
C17orf53	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	4	0	1	0	0
C17orf58	3	0	5	0	4	2	2	0	0	0	0	1	0	2	1	0	0	0	0	0
C17orf59	0	4	0	2	3	0	2	0	4	1	8	2	0	1	4	2	3	0	0	0
C17orf62	0	5	2	4	0	8	1	4	2	8	1	5	10	2	8	8	5	2	5	6
C17orf64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf70	4	1	35	53	2	6	6	18	49	0	11	1	10	9	2	5	2	1	2	4
C17orf74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf75	0	0	2	2	0	0	0	2	2	0	1	0	0	0	0	0	0	2	0	8
C17orf77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf78	1	0	0	4	0	0	1	0	9	4	0	3	0	1	2	2	5	0	0	1
C17orf80	14	42	27	24	23	25	26	22	42	27	17	57	31	25	28	23	34	28	29	38
C17orf82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf85	0	0	0	2	2	0	2	0	2	0	2	2	2	2	2	0	0	0	0	0
C17orf89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf96	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	1	0	0	0	0
C17orf97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C18orf21	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C18orf25	2	0	6	5	4	2	2	4	4	0	2	2	2	0	2	2	0	4	0	4
C18orf32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C18orf42	0	3	2	2	1	0	1	0	0	2	1	0	0	0	0	0	1	5	0	2
C18orf54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C18orf61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C18orf63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C18orf64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C18orf8	145	118	80	87	95	123	86	58	90	62	147	130	113	93	125	120	72	106	61	86
C19orf10	2	2	0	2	0	2	0	3	0	3	1	2	0	2	2	0	0	8	2	1
C19orf12	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
C19orf18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19orf24	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
C19orf25	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
C19orf26	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C19orf33	0	0	0	1	0	2	0	0	3	0	0	0	0	0	1	0	0	0	0	0
C19orf35	0	0	0	0	0	0	0	1	0	0	0	4	1	0	1	0	0	0	0	0
C19orf38	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
C19orf40	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0
C19orf43	2	2	2	6	0	0	2	6	6	2	2	6	4	0	0	2	2	0	3	9
C19orf44	494	254	466	462	510	606	329	491	460	531	507	276	496	454	531	417	227	612	181	330
C19orf45	1	0	0	0	0	0	2	0	1	0	0	0	0	6	0	0	0	1	0	1
C19orf47	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
C19orf48	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0
C19orf52	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C19orf53	0	1	0	0	0	0	0	0	0	4	0	2	0	0	0	0	2	0	2	0
C19orf54	0	1	0	1	2	1	0	1	2	1	3	0	0	0	0	7	1	4	2	0
C19orf55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
C19orf57	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0
C19orf60	2	2	0	2	1	6	5	2	8	5	2	1	0	0	0	7	2	0	1	0
C19orf66	0	1	4	0	2	3	11	6	9	6	0	2	3	2	3	0	13	4	1	2
C19orf67	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0
C19orf68	6	0	2	4	6	3	0	0	2	5	2	0	1	1	1	1	0	4	2	0
C19orf70	2	0	2	4	3	0	2	0	2	2	0	0	2	0	0	0	0	2	3	3
C19orf71	70	9	64	80	69	47	18	54	50	65	49	35	90	60	36	58	15	62	18	78
C19orf73	2	9	13	6	21	9	17	8	3	10	6	15	5	7	15	2	8	12	9	7
C19orf80	1	0	0	3	0	0	0	0	2	1	0	0	0	1	0	0	0	4	0	0
C19orf81	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
C19orf82	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	2	0	0	0	3
C19orf83	32	66	75	71	143	23	66	68	46	55	27	62	45	41	12	15	20	38	5	20
C19orf84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1D	0	4	0	0	0	2	0	0	0	2	8	0	0	6	0	0	0	0	6	0
C1GALT1	2	0	0	2	6	0	0	4	0	0	0	0	8	0	0	4	2	2	4	2
C1GALT1C1	3	2	2	2	0	0	2	4	4	5	4	0	4	2	7	2	4	10	8	0
C1QA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0
C1QBP	25	43	25	11	29	27	57	35	14	26	16	42	41	39	39	18	30	26	36	23
C1QC	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0
C1QL1	0	0	7	2	2	2	5	0	0	2	0	7	2	1	3	0	0	0	3	3
C1QL2	0	0	0	0	0	0	0	0	0	0	6	0	2	0	2	0	0	2	0	0
C1QL3	49	35	57	0	78	33	29	77	0	64	29	33	53	0	20	35	32	70	0	49
C1QL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF1	0	0	0	1	0	0	0	0	2	0	5	4	0	0	0	6	0	3	0	0
C1QTNF1-AS1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF3	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
C1QTNF3-AMACR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
C1QTNF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C1QTNF7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
C1QTNF8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C1QTNF9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0
C1QTNF9B	21	6	5	20	20	19	11	7	7	22	5	4	12	8	15	2	2	3	2	6
C1QTNF9B-AS1	2	0	0	2	0	3	1	1	1	0	11	1	4	0	0	0	0	0	2	0
C1R	5	2	0	4	2	6	4	2	0	2	42	37	18	29	18	58	5	14	6	11
C1RL	8	0	0	1	0	2	0	2	2	4	7	0	0	1	8	4	0	0	0	0
C1RL-AS1	375	139	117	212	136	464	244	175	339	187	515	230	216	212	173	492	285	252	333	266
C1S	2	7	0	12	4	5	2	2	7	4	44	26	14	26	20	33	12	10	23	4
C1orf100	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C1orf101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf106	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
C1orf110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
C1orf112	26	13	13	16	19	25	17	27	14	31	48	13	25	22	9	26	25	27	26	15
C1orf115	2	6	0	0	2	2	5	2	0	0	6	4	1	4	2	1	0	0	0	0
C1orf116	0	4	0	6	0	10	2	17	2	4	2	0	6	12	2	12	2	2	0	4
C1orf122	32	42	28	31	34	31	56	38	32	45	18	57	44	41	37	30	44	36	55	38
C1orf123	36	12	25	20	23	52	30	19	20	36	29	14	27	40	48	30	16	45	26	17
C1orf127	0	0	0	2	0	0	1	2	2	6	0	0	1	0	4	0	0	0	0	0
C1orf131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C1orf140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf145	6	1	1	0	15	6	7	4	0	1	3	0	4	1	0	4	1	5	0	4
C1orf146	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C1orf158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	9	0	1	0	4	4	2	3	0	2	6	0	3	0	3	2	0	3	2	2
C1orf162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf167	268	119	159	235	144	277	178	171	300	148	421	208	300	276	139	389	155	283	148	126
C1orf168	0	0	0	0	1	0	0	1	0	0	0	0	1	7	2	0	0	5	1	6
C1orf174	5	0	4	0	0	1	0	2	2	0	0	0	0	4	0	2	0	0	2	0
C1orf177	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf186	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
C1orf189	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf192	372	315	284	281	382	399	454	380	307	388	194	267	285	163	122	205	197	240	113	228
C1orf194	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	1	0
C1orf195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf198	2	0	0	2	0	0	4	5	2	2	0	0	2	0	0	2	2	0	2	4
C1orf200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf204	11	16	8	34	13	7	13	13	13	2	120	569	227	500	159	97	389	209	356	137
C1orf21	2	0	0	5	0	0	0	2	3	0	2	1	2	0	16	0	2	4	0	0
C1orf210	2	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0
C1orf213	21	7	2	32	14	2	8	6	21	7	6	6	2	7	0	6	1	0	2	1
C1orf216	0	0	0	0	2	1	2	6	0	0	2	2	0	2	4	0	0	0	1	2
C1orf220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf229	6	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
C1orf233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf27	0	6	4	2	6	2	4	0	6	6	2	4	8	0	6	5	0	0	0	8
C1orf35	1	4	0	0	0	0	0	0	0	0	2	0	1	0	5	0	0	0	2	2
C1orf43	2	14	7	0	4	2	8	12	0	9	2	7	2	10	8	2	2	4	13	12
C1orf50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
C1orf52	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
C1orf53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf54	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	2	6	1	3
C1orf56	139	194	136	177	114	163	155	136	145	126	180	117	177	218	197	139	128	155	130	145
C1orf61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
C1orf85	0	0	2	4	0	0	0	2	4	0	0	0	1	0	0	0	0	0	0	10
C1orf86	214	156	174	164	216	193	183	194	175	242	253	168	196	212	252	209	164	144	144	127
C1orf87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0
C1orf94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2	45	30	24	22	23	30	14	13	25	26	34	21	19	5	29	47	14	41	9	5
C20orf141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf144	1	7	4	4	3	4	1	1	5	3	1	7	5	0	3	6	0	5	0	6
C20orf166	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf166-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf194	4	0	0	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
C20orf195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf196	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf24	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
C20orf26	1	1	0	0	0	6	1	0	0	3	6	5	6	0	3	1	14	0	7	2
C20orf27	0	4	1	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
C20orf62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C20orf96	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
C21orf119	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
C21orf128	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
C21orf140	5	5	5	6	17	7	3	5	1	7	6	6	2	6	5	7	6	0	3	13
C21orf15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf2	217	71	117	148	168	208	128	122	126	201	215	87	174	165	160	166	42	132	66	179
C21orf33	6	0	0	1	0	2	5	2	2	0	2	2	4	0	6	0	1	0	0	4
C21orf37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf49	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1
C21orf54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf58	1	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	4	0
C21orf59	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0
C21orf62	0	2	0	5	5	3	2	3	1	4	1	1	0	1	1	2	0	8	1	4
C21orf67	0	0	0	0	0	1	1	0	0	0	8	0	0	1	0	2	1	0	1	2
C21orf88	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
C21orf90	0	1	1	0	2	0	0	2	0	4	3	1	0	1	1	0	0	5	1	1
C21orf91	2	0	0	0	0	2	2	2	0	2	2	4	5	6	2	2	6	0	0	4
C21orf91-OT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22orf15	69	76	95	29	65	80	123	86	65	95	44	59	58	41	62	51	54	75	35	49
C22orf23	221	40	225	160	113	306	70	159	156	208	342	57	213	124	104	233	26	215	71	114
C22orf24	12	7	2	15	8	7	11	1	7	4	2	14	2	0	15	2	4	1	3	0
C22orf29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
C22orf31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22orf34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C22orf39	8	8	10	8	19	2	18	13	8	36	11	24	4	3	6	3	4	1	4	9
C22orf42	0	2	0	0	2	0	0	0	2	0	0	2	2	2	0	0	0	0	0	0
C22orf46	6	0	1	4	4	4	2	10	7	2	6	0	0	1	0	4	0	2	0	8
C2CD2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0
C2CD2L	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
C2CD3	1	1	0	0	3	2	4	0	0	4	0	2	1	0	0	2	2	0	0	0
C2CD4A	3	16	4	17	9	13	21	11	7	15	9	12	13	6	27	11	7	6	12	16
C2CD4B	5	5	12	1	11	7	5	11	2	7	16	18	14	17	12	7	4	13	11	10
C2CD4C	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C2CD4D	2	9	2	0	1	1	1	5	1	2	9	0	2	3	7	6	0	2	4	1
C2CD5	10	14	4	6	16	2	11	8	2	14	8	7	1	4	12	2	4	4	8	8
C2orf15	0	0	0	0	0	0	0	0	4	0	0	0	4	2	0	0	0	2	2	5
C2orf16	59	38	54	62	87	42	25	25	47	47	73	52	50	59	77	49	90	67	37	51
C2orf27A	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf27B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf42	0	0	0	0	4	2	0	0	0	0	0	0	0	2	2	2	0	2	0	0
C2orf43	2	0	0	2	0	0	2	4	0	0	0	0	0	4	2	0	0	0	2	0
C2orf44	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
C2orf47	1	1	4	5	0	3	9	4	2	3	0	3	4	2	0	1	0	0	6	2
C2orf48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf49	4	2	0	6	1	5	3	0	0	0	2	7	0	0	4	0	5	4	5	5
C2orf50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf54	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C2orf57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf68	1	2	0	1	4	2	0	2	2	0	2	0	1	0	4	1	1	2	0	1
C2orf69	0	2	0	4	2	0	6	0	2	0	0	0	0	1	0	0	0	0	7	0
C2orf70	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf73	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0
C2orf74	2	6	0	0	0	4	2	2	0	4	0	0	0	6	6	0	6	4	6	2
C2orf76	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0
C2orf78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf81	15	16	12	7	33	24	20	29	10	18	12	27	16	30	25	10	25	25	12	19
C2orf82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf88	0	4	0	0	0	0	0	0	2	2	1	0	2	0	1	2	1	4	1	4
C2orf91	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3	23	6	20	60	5	23	16	3	32	0	117	35	36	39	12	115	22	19	52	20
C3AR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
C3P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf14	0	0	2	0	2	0	0	2	0	4	0	2	0	0	0	0	1	0	4	7
C3orf17	57	94	70	101	117	105	71	128	132	122	86	66	100	100	93	98	91	94	131	118
C3orf18	18	29	19	37	15	23	49	24	27	29	18	15	15	25	13	12	29	25	32	34
C3orf20	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
C3orf22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C3orf35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf38	1	3	2	2	7	0	0	3	0	2	0	0	2	0	2	2	2	0	0	0
C3orf43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf49	1	0	0	0	1	1	0	8	1	6	1	1	7	1	0	1	1	0	0	2
C3orf52	2	2	0	2	0	0	0	0	1	0	0	0	0	4	2	2	2	0	0	0
C3orf55	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
C3orf56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf58	2	4	0	0	2	4	0	0	4	2	0	6	0	0	0	0	0	2	0	0
C3orf62	0	0	2	0	2	1	0	0	0	0	0	3	0	2	0	0	0	0	1	0
C3orf65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf67	0	0	0	2	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0
C3orf67-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3orf80	0	0	3	5	0	0	5	5	1	2	0	1	4	0	4	0	2	0	0	0
C3orf84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4BPA	0	0	0	4	2	2	0	2	4	0	7	0	4	4	4	10	4	0	0	0
C4BPB	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	2
C4B_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf19	0	0	2	2	0	2	6	0	1	0	4	6	4	2	4	2	0	2	6	2
C4orf22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C4orf27	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0
C4orf29	0	0	4	2	2	0	2	0	0	0	0	1	0	0	0	0	1	2	0	4
